ID,REG,DATE,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR,CASES
179,jak-pus,04-09-2021,25.0,32.0,28.7,70.0,-,4.4,4.0,20.0,1.0,C ,1.0
181,jak-pus,04-09-2022,26.2,32.2,28.8,70.0,0,5.7,3.0,320.0,1.0,C ,4.0
182,jak-pus,04-09-2023,24.2,33.4,28.3,62.0,0,5.5,5.0,120.0,1.0,C ,1.0
183,jak-pus,04-09-2024,27.2,34.6,30.1,64.0,0.0,6.2,3.0,50.0,1.0,C,1.0
184,jak-pus,04-10-2021,26.6,32.4,28.4,75.0,0,7.7,6.0,330.0,1.0,C ,3.0
185,jak-pus,04-10-2022,25.8,32.8,28.1,78.0,1.6,5.4,6.0,320.0,2.0,C ,2.0
186,jak-pus,04-10-2023,25,33.0,29.0,74.0,-,8.0,3.0,230.0,1.0,C ,3.0
187,jak-pus,04-10-2024,27.4,34.6,30.4,69.0,0.0,2.2,6.0,360.0,1.0,C,2.0
188,jak-pus,04-11-2021,26.4,32.6,29.0,77.0,0.6,5.2,5.0,330.0,2.0,C ,1.0
189,jak-pus,04-11-2022,26.2,33.2,28.9,75.0,0,3.0,5.0,317.0,1.0,C ,3.0
190,jak-pus,04-11-2023,27.6,32.6,28.2,80.0,-,4.2,4.0,330.0,1.0,C ,1.0
191,jak-pus,04-11-2024,25.0,31.4,27.6,82.0,18.4,5.1,3.0,30.0,1.0,C,3.0
192,jak-pus,04-12-2021,-,-,-,85.0,0,1.0,4.0,300.0,1.0,C ,4.0
193,jak-pus,04-12-2022,25.0,31.2,28.4,77.0,-,6.5,7.0,320.0,2.0,C ,3.0
194,jak-pus,04-12-2023,26.0,29.0,26.7,86.0,2.3,1.7,2.0,120.0,0.0,C ,1.0
195,jak-pus,04-12-2024,25.0,30.0,27.1,83.0,4.0,0.5,5.0,250.0,2.0,W,4.0
196,jak-pus,05-01-2021,26.2,29.6,28.4,76.0,0,5.2,5.0,310.0,1.0,C ,0.0
197,jak-pus,05-01-2022,26.6,33.0,29.4,75.0,0,5.6,5.0,320.0,1.0,C ,6.0
198,jak-pus,05-01-2023,24,32.6,27.4,83.0,35.3,-,4.0,317.0,2.0,C ,4.0
199,jak-pus,05-01-2024,25.0,32.4,28.1,80.0,30.8,0.0,5.0,330.0,1.0,C ,3.0
200,jak-pus,05-02-2021,25,29.6,27.0,85.0,21,6.4,7.0,280.0,3.0,NW,0.0
201,jak-pus,05-02-2022,25.0,28.6,26.0,90.0,16.3,3.5,3.0,270.0,1.0,C ,3.0
202,jak-pus,05-02-2023,26.2,33.6,28.4,77.0,-,1.2,8.0,310.0,2.0,C ,7.0
203,jak-pus,05-02-2024,26.0,32.0,27.9,84.0,14,2.4,10.0,320.0,1.0,C ,1.0
204,jak-pus,05-03-2021,25.4,31.6,27.4,82.0,3,3.0,10.0,320.0,2.0,C ,1.0
205,jak-pus,05-03-2022,25.4,33.4,27.1,78.0,-,2.0,8.0,250.0,2.0,W ,9.0
206,jak-pus,05-03-2023,25,29.6,26.6,87.0,2.2,2,3.0,310.0,0.0,C ,4.0
207,jak-pus,05-03-2024,26.4,35.2,30.2,71.0,1,1.0,5.0,260.0,2.0,C ,10.0
208,jak-pus,05-04-2021,25.0,32.0,28.5,78.0,-,0.4,4.0,320.0,2.0,C ,3.0
209,jak-pus,05-04-2022,25.6,32.4,27.6,81.0,0,7.6,6.0,340.0,1.0,C ,7.0
210,jak-pus,05-04-2023,25.8,33.2,29,69,-,3.2,6.0,317.0,1.0,C ,7.0
211,jak-pus,05-04-2024,26,32.4,29.6,80.0,-,6.2,2.0,80.0,0.0,C ,20.0
212,jak-pus,05-05-2021,27.4,32.4,29.5,78.0,0,2.7,5.0,330.0,1.0,C ,3.0
213,jak-pus,05-05-2022,26.4,34.0,29.5,77.0,0,5.0,3.0,332.0,1.0,C ,5.0
214,jak-pus,05-05-2023,26,33.4,29.2,80.0,-,6.6,3.0,300.0,1.0,C ,4.0
215,jak-pus,05-05-2024,27.4,34.6,30.8,71.0,0,5.0,6.0,360.0,1.0,C ,21.0
216,jak-pus,05-06-2021,26.8,33.0,29.3,78.0,8888,5,5.0,290.0,1.0,C ,1.0
217,jak-pus,05-06-2022,26.4,32.6,28.6,78.0,0,7,6.0,340.0,2.0,C ,5.0
218,jak-pus,05-06-2023,27.2,33.6,29.6,74.0,-,4.0,6.0,320.0,1.0,C ,9.0
219,jak-pus,05-06-2024,27,33.4,30,72.0,-,3.0,3.0,320.0,1.0,C ,9.0
220,jak-pus,05-07-2021,26.2,32.4,28.6,76.0,0,6.6,4.0,300.0,1.0,C ,1.0
221,jak-pus,05-07-2022,25,33.2,29.4,78.0,-,6.5,5.0,330.0,1.0,C ,3.0
222,jak-pus,05-07-2023,26.4,33.4,29.3,73.0,0,5.5,5.0,70.0,1.0,C ,1.0
223,jak-pus,05-07-2024,24.6,32.2,27,84,14.5,1.6,4.0,140.0,1.0,C ,3.0
224,jak-pus,05-08-2021,26.8,31.0,27.4,81.0,0,6.3,5.0,300.0,1.0,C ,0.0
225,jak-pus,05-08-2022,25.8,30.8,28.0,82,15.4,6.0,8.0,340.0,2.0,C ,7.0
226,jak-pus,05-08-2023,26.6,33.0,29.4,71.0,-,6.5,4.0,350.0,1.0,C ,4.0
227,jak-pus,05-08-2024,26.2,31.6,28.5,74.0,5.0,7.1,6.0,320.0,2.0,C,4.0
228,jak-pus,05-09-2021,26.4,33.2,29.6,67.0,-,7,7.0,340.0,2.0,C ,0.0
229,jak-pus,05-09-2022,26.6,32.4,29.4,74.0,0,7.8,6.0,320.0,1.0,C ,6.0
230,jak-pus,05-09-2023,24.6,33.6,28.4,63.0,-,7.5,3.0,210.0,0.0,C ,1.0
231,jak-pus,05-09-2024,27.6,33.4,30.1,66.0,0.0,7.0,4.0,300.0,1.0,C,1.0
232,jak-pus,05-10-2021,25.4,33.0,29.0,66.0,16.2,4.6,6.0,330.0,1.0,C ,2.0
233,jak-pus,05-10-2022,25.0,30.6,27.4,87.0,26,4.8,0.0,0.0,0.0,C ,3.0
234,jak-pus,05-10-2023,27.2,34.0,29.8,74.0,0,8.0,3.0,240.0,0.0,C ,1.0
235,jak-pus,05-10-2024,26.0,32.6,29.6,72.0,0.0,5.4,6.0,350.0,2.0,C,1.0
236,jak-pus,05-11-2021,26.6,29.8,27.9,82.0,8888,5.8,2.0,290.0,0.0,C ,3.0
237,jak-pus,05-11-2022,25.4,32.6,28.0,78.0,27.6,2.4,7.0,320.0,1.0,C ,3.0
